input_size,num_threads,std_thread_sum,omp1_sum,omp_builtin_sum
1000000,1,0.489051,0.171841,0.107522
2000000,2,0.599055,0.234019,0.109158
4000000,4,0.685856,0.242234,0.120452
8000000,8,1.166218,0.384998,0.207596
1000000000,16,156.755744,56.794729,36.046846
