hop,location,average_ms
1,192.168.86.1,2.7816666666666667
6,23.255.225.53,21.502333333333336
7,206.223.116.177,20.331333333333333
8,52.93.70.204 | 52.93.70.194 | 52.93.70.198,21.168000000000003
9,54.240.242.115 | 54.240.242.141 | 150.222.97.129,23.02633333333333
