hop,location,average_ms
1,192.168.86.1,3.9036666666666666
5,23.255.225.42,18.936
8,15.230.186.158 | 15.230.16.73 | 15.230.16.143,20.43166666666667
9,15.230.186.103,20.398
10,150.222.232.101 | 150.222.232.109,22.1665
14,150.222.248.6 | 150.222.251.248,22.3335
17,54.230.21.33,19.2755
